street,sa2_code,sa2_name,installation_type,installations,kw_rating,kw_total
BURNAGE ROAD,100100,North Cape,Res,3 or less,5.5,
EVERITT ROAD,100100,North Cape,Res,3 or less,3.8,
FAR NORTH ROAD,100100,North Cape,Res,21,5.7,119.6
FITZGERALD ROAD,100100,North Cape,Res,3 or less,5.5,
HENDERSON BAY ROAD,100100,North Cape,Res,3 or less,5.0,
HOUHORA HEADS ROAD,100100,North Cape,Res,3 or less,7.6,
HUKATERE ROAD,100100,North Cape,Res,3 or less,3.3,
LAMB ROAD,100100,North Cape,Res,3 or less,5.5,
MAY ROAD,100100,North Cape,Res,3 or less,5.0,
MCMANUS ROAD,100100,North Cape,Res,3 or less,4.1,
NGATAKI ROAD,100100,North Cape,Res,3 or less,5.1,
PINE BLOCK ROAD,100100,North Cape,Res,3 or less,3.1,
STATE HIGHWAY 1,100100,North Cape,Res,3 or less,5.0,
STATE HIGHWAY 1F,100100,North Cape,Res,36,5.2,185.9
TE AHU ROAD,100100,North Cape,Res,5,5.3,26.6
TE HAPUA ROAD,100100,North Cape,Res,6,4.0,24.0
TE RAWHITIROA ROAD,100100,North Cape,Res,3 or less,5.0,
VIEW LANE,100100,North Cape,Res,3 or less,5.0,
WAGENER GROVE,100100,North Cape,Res,3 or less,5.3,
WATERFRONT ROAD,100100,North Cape,Res,3 or less,19.9,
WHALERS ROAD,100100,North Cape,Res,4,6.0,24.0
CHURCH ROAD,100200,Rangaunu Harbour,Res,3 or less,10.0,
DICK SMITH LOOP ROAD,100200,Rangaunu Harbour,Res,3 or less,10.0,
DOEL ROAD,100200,Rangaunu Harbour,Res,3 or less,5.0,
FAR NORTH ROAD,100200,Rangaunu Harbour,Res,3 or less,4.0,
GILL ROAD,100200,Rangaunu Harbour,Res,3 or less,5.6,
IMMS ROAD,100200,Rangaunu Harbour,Res,3 or less,5.5,
KAIMAUMAU ROAD,100200,Rangaunu Harbour,Res,3 or less,3.0,
KUMI ROAD,100200,Rangaunu Harbour,Res,3 or less,4.5,
LAKE NGATU ROAD,100200,Rangaunu Harbour,Res,3 or less,5.0,
MANGATETE HEIGHTS,100200,Rangaunu Harbour,Res,3 or less,9.0,
MANGATETE HEIGHTS ROAD,100200,Rangaunu Harbour,Res,3 or less,4.0,
NGAKAPUA ROAD,100200,Rangaunu Harbour,Res,3 or less,6.7,
PAIRATAHI ROAD,100200,Rangaunu Harbour,Res,3 or less,9.0,
PAPARORE ROAD,100200,Rangaunu Harbour,Res,3 or less,2.0,
QUARRY ROAD,100200,Rangaunu Harbour,Res,4,7.3,29.0
RATA STREET,100200,Rangaunu Harbour,Res,3 or less,3.5,
RONAS PLACE,100200,Rangaunu Harbour,Res,3 or less,5.5,
SPAINS ROAD,100200,Rangaunu Harbour,Res,4,6.5,26.0
STATE HIGHWAY 1,100200,Rangaunu Harbour,Res,3 or less,9.0,
STATE HIGHWAY 10,100200,Rangaunu Harbour,Res,6,4.5,26.8
STATE HIGHWAY 1F,100200,Rangaunu Harbour,Res,4,6.1,24.5
SULENTA LOOP ROAD,100200,Rangaunu Harbour,Res,3 or less,6.6,
SWEETWATER ROAD,100200,Rangaunu Harbour,Res,3 or less,7.6,
TURK VALLEY ROAD,100200,Rangaunu Harbour,Res,3 or less,3.0,
UNAHI ROAD,100200,Rangaunu Harbour,Res,3 or less,7.0,
WAIMANONI ROAD,100200,Rangaunu Harbour,Res,3 or less,5.0,
WEST COAST ROAD,100200,Rangaunu Harbour,Res,9,5.0,44.7
WEST ROAD,100200,Rangaunu Harbour,Res,3 or less,4.8,
AKEAKE CRESCENT,100400,Karikari Peninsula,Res,3 or less,4.2,
BANYAN ROAD,100400,Karikari Peninsula,Res,3 or less,5.0,
BAY HEIGHTS DRIVE,100400,Karikari Peninsula,Res,3 or less,6.0,
CARRINGTON DRIVE,100400,Karikari Peninsula,Res,3 or less,9.0,
DICK URLICH ROAD,100400,Karikari Peninsula,Res,3 or less,6.0,
DOUBTLESS BAY DRIVE,100400,Karikari Peninsula,Res,3 or less,10.0,
GILLIES ROAD,100400,Karikari Peninsula,Res,3 or less,10.0,
INLAND ROAD,100400,Karikari Peninsula,Res,11,5.4,59.6
LINDSEY WAY,100400,Karikari Peninsula,Res,3 or less,10.0,
MARREINE PLACE,100400,Karikari Peninsula,Res,3 or less,4.5,
MELISSA ROAD,100400,Karikari Peninsula,Res,3 or less,9.0,
PEKERAU ROAD,100400,Karikari Peninsula,Res,3 or less,3.0,
PEREHIPE ROAD,100400,Karikari Peninsula,Res,3 or less,5.0,
PUKEWHAI ROAD,100400,Karikari Peninsula,Res,3 or less,5.3,
RANGIPUTA ROAD,100400,Karikari Peninsula,Res,3 or less,6.5,
SIMON URLICH ROAD,100400,Karikari Peninsula,Res,4,5.5,22.0
SIMPSON ROAD,100400,Karikari Peninsula,Res,3 or less,17.2,
STATE HIGHWAY 10,100400,Karikari Peninsula,Res,3 or less,6.8,
TE RANGINUI PLACE,100400,Karikari Peninsula,Res,3 or less,6.0,
TOKERAU BEACH ROAD,100400,Karikari Peninsula,Res,4,4.5,18.2
TUITONGA ROAD,100400,Karikari Peninsula,Res,3 or less,5.0,
WHATUWHIWHI ROAD,100400,Karikari Peninsula,Res,3 or less,4.2,
AHIPARA ROAD,100500,Tangonge,Res,3 or less,4.0,
AWAROA ROAD,100500,Tangonge,Res,3 or less,3.0,
BONNETT ROAD,100500,Tangonge,Res,3 or less,5.0,
BRASS ROAD,100500,Tangonge,Res,3 or less,4.0,
KAITAIA-AWAROA ROAD,100500,Tangonge,Res,6,4.6,27.8
MASTERS ACCESS ROAD,100500,Tangonge,Res,3 or less,4.7,
OKAHU DOWNS DRIVE,100500,Tangonge,Res,3 or less,5.5,
OKAHU ROAD,100500,Tangonge,Res,4,5.1,20.4
PUCKEY ROAD,100500,Tangonge,Res,3 or less,6.0,
PUKEPOTO ROAD,100500,Tangonge,Res,3 or less,4.7,
ROMA ROAD,100500,Tangonge,Res,3 or less,3.0,
TANGONGE ROAD,100500,Tangonge,Res,3 or less,5.0,
WIRELESS ROAD,100500,Tangonge,Res,5,6.1,30.7
FORESHORE ROAD,100600,Ahipara,Res,4,3.9,15.6
GUMFIELDS ROAD,100600,Ahipara,Res,3 or less,4.0,
KAKA STREET,100600,Ahipara,Res,3 or less,4.4,
KAKAPO STREET,100600,Ahipara,Res,5,5.0,25.0
KARAWAKA STREET,100600,Ahipara,Res,3 or less,6.0,
KOKOPU STREET,100600,Ahipara,Res,3 or less,5.3,
KORORA STREET,100600,Ahipara,Res,3 or less,4.0,
KOTARE STREET,100600,Ahipara,Res,3 or less,8.0,
MOA STREET,100600,Ahipara,Res,3 or less,5.0,
REEF VIEW ROAD,100600,Ahipara,Res,4,5.3,21.0
TAKAHE ROAD,100600,Ahipara,Res,4,4.6,18.6
TASMAN HEIGHTS ROAD,100600,Ahipara,Res,8,5.7,45.6
WEKA STREET,100600,Ahipara,Res,3 or less,2.2,
WHARO WAY,100600,Ahipara,Res,3 or less,5.0,
COMMERCE STREET,100700,Kaitaia East,Res,3 or less,14.0,
DONALD ROAD,100700,Kaitaia East,Res,3 or less,5.0,
MATILDA PLACE,100700,Kaitaia East,Res,3 or less,5.0,
MISSION PLACE,100700,Kaitaia East,Res,3 or less,7.0,
NORTH ROAD,100700,Kaitaia East,Res,3 or less,3.2,
PARKDALE CRESCENT,100700,Kaitaia East,Res,3 or less,4.2,
PUCKEY AVENUE,100700,Kaitaia East,Res,3 or less,4.0,
RONGOPAI PLACE,100700,Kaitaia East,Res,3 or less,9.0,
TE AHU STREET,100700,Kaitaia East,Res,3 or less,5.0,
BONNETT ROAD,100800,Kaitaia West,Res,3 or less,6.0,
FOLEY STREET,100800,Kaitaia West,Res,3 or less,5.0,
GRIGG STREET,100800,Kaitaia West,Res,3 or less,5.6,
JAMIESON ROAD,100800,Kaitaia West,Res,5,4.2,21.0
KOHUHU STREET,100800,Kaitaia West,Res,3 or less,4.0,
LAKE ROAD,100800,Kaitaia West,Res,3 or less,5.0,
MASFEN TERRACE,100800,Kaitaia West,Res,3 or less,6.2,
OHOTU WAY,100800,Kaitaia West,Res,8,5.0,40.0
OKAHU ROAD,100800,Kaitaia West,Res,3 or less,5.3,
PUKEPOTO ROAD,100800,Kaitaia West,Res,3 or less,5.0,
PURIRI PLACE,100800,Kaitaia West,Res,3 or less,5.0,
REDAN ROAD,100800,Kaitaia West,Res,3 or less,4.6,
SOUTH ROAD,100800,Kaitaia West,Res,3 or less,5.0,
SUMMERVILLE AVENUE,100800,Kaitaia West,Res,3 or less,6.0,
TAUPATA PLACE,100800,Kaitaia West,Res,3 or less,3.7,
TE MAIRE AVENUE,100800,Kaitaia West,Res,3 or less,5.0,
VEGAR STREET,100800,Kaitaia West,Res,3 or less,6.0,
WILLIAMS STREET,100800,Kaitaia West,Res,3 or less,5.0,
CHURCH ROAD,100900,Rangitihi,Res,5,4.7,23.5
FRYER ROAD,100900,Rangitihi,Res,3 or less,5.0,
HILLCREST ROAD,100900,Rangitihi,Res,3 or less,5.0,
OTURU ROAD,100900,Rangitihi,Res,3 or less,4.7,
RUAROA ROAD,100900,Rangitihi,Res,3 or less,5.6,
STATE HIGHWAY 1,100900,Rangitihi,Res,9,4.5,40.4
ARKLES WAY,101000,Oruru-Parapara,Res,3 or less,5.3,
CABLE BAY BLOCK ROAD,101000,Oruru-Parapara,Res,3 or less,5.0,
KOHUMARU ROAD,101000,Oruru-Parapara,Res,3 or less,3.7,
OLIVE VIEW HEIGHTS DRIVE,101000,Oruru-Parapara,Res,3 or less,5.0,
ORURU ROAD,101000,Oruru-Parapara,Res,3 or less,5.3,
PARANUI ROAD,101000,Oruru-Parapara,Res,3 or less,6.0,
PARAPARA -TOATOA ROAD,101000,Oruru-Parapara,Res,3 or less,6.0,
PARAPARA ROAD,101000,Oruru-Parapara,Res,3 or less,3.0,
PARAPARA-TOATOA ROAD,101000,Oruru-Parapara,Res,4,4.7,18.7
PARIRI ROAD,101000,Oruru-Parapara,Res,3 or less,3.6,
TAIPA HEIGHTS DRIVE,101000,Oruru-Parapara,Res,4,6.6,26.4
TAIPA TIDES DRIVE,101000,Oruru-Parapara,Res,3 or less,3.2,
TAIPA VIEW ROAD,101000,Oruru-Parapara,Res,5,5.6,27.8
TAYLOR ROAD,101000,Oruru-Parapara,Res,3 or less,6.0,
ADAMSON ROAD,101100,Taumarumaru,Res,3 or less,6.3,
AMELIE PLACE,101100,Taumarumaru,Res,3 or less,8.0,
BANKSIA ROAD,101100,Taumarumaru,Res,3 or less,2.4,
BAY VIEW ROAD,101100,Taumarumaru,Res,3 or less,5.0,
BAYSIDE DRIVE,101100,Taumarumaru,Res,3 or less,11.0,
BEACH ROAD,101100,Taumarumaru,Res,3 or less,3.1,
BERGHAN ROAD,101100,Taumarumaru,Res,3 or less,8.0,
BRAEMAR AVENUE,101100,Taumarumaru,Res,3 or less,4.4,
BUSH POINT ROAD,101100,Taumarumaru,Res,3 or less,3.8,
CABLE BAY BLOCK ROAD,101100,Taumarumaru,Res,4,5.7,23.0
CHRISTINE DRIVE,101100,Taumarumaru,Res,3 or less,5.0,
COACHMANS WAY,101100,Taumarumaru,Res,3 or less,4.0,
COLONEL MOULD DRIVE,101100,Taumarumaru,Res,3 or less,5.7,
DUDLEY CRESCENT,101100,Taumarumaru,Res,3 or less,8.2,
EAGLES WAY,101100,Taumarumaru,Res,6,4.0,24.1
FLAME TREE LANE,101100,Taumarumaru,Res,3 or less,4.5,
FRANGIPANI STREET,101100,Taumarumaru,Res,3 or less,3.5,
FRAZER PLACE,101100,Taumarumaru,Res,3 or less,6.0,
FREAR RISE,101100,Taumarumaru,Res,3 or less,5.0,
GEORGE STREET,101100,Taumarumaru,Res,3 or less,5.0,
GREY STREET,101100,Taumarumaru,Res,3 or less,4.9,
HERETAUNGA CRESCENT,101100,Taumarumaru,Res,3 or less,4.0,
HIBISCUS AVENUE,101100,Taumarumaru,Res,3 or less,5.0,
KOTARE DRIVE,101100,Taumarumaru,Res,3 or less,6.0,
KUPE ROAD,101100,Taumarumaru,Res,3 or less,7.5,
LORI LANE,101100,Taumarumaru,Res,5,4.4,22.2
MABEL THORBURN PLACE,101100,Taumarumaru,Res,3 or less,2.5,
MAGNOLIA DRIVE,101100,Taumarumaru,Res,3 or less,3.8,
MAHOE LANE,101100,Taumarumaru,Res,3 or less,4.0,
MELODY LANE,101100,Taumarumaru,Res,3 or less,5.8,
MIDGARD ROAD,101100,Taumarumaru,Res,5,7.0,35.1
MILL BAY ROAD,101100,Taumarumaru,Res,4,4.9,19.7
MOREY ROAD,101100,Taumarumaru,Res,3 or less,6.0,
NANCY WAKE PLACE,101100,Taumarumaru,Res,3 or less,4.5,
OCEAN VIEW ROAD,101100,Taumarumaru,Res,3 or less,6.5,
ODEN HILL,101100,Taumarumaru,Res,3 or less,6.3,
OPOI LANE,101100,Taumarumaru,Res,3 or less,5.0,
PEKAMA DRIVE,101100,Taumarumaru,Res,3 or less,10.0,
POHUTUKAWA DRIVE,101100,Taumarumaru,Res,3 or less,8.0,
POWELLS ROAD,101100,Taumarumaru,Res,3 or less,5.5,
RICHMOND ROAD,101100,Taumarumaru,Res,3 or less,3.2,
SEASCAPE LANE,101100,Taumarumaru,Res,3 or less,5.0,
SEAVIEW ROAD,101100,Taumarumaru,Res,3 or less,1.0,
SILVER EGG ROAD,101100,Taumarumaru,Res,3 or less,5.0,
SPICER ROAD,101100,Taumarumaru,Res,3 or less,8.5,
STATE HIGHWAY 10,101100,Taumarumaru,Res,15,6.4,95.5
STRATFORD DRIVE,101100,Taumarumaru,Res,6,4.4,26.2
SUNRISE PLACE,101100,Taumarumaru,Res,3 or less,3.0,
TAIPA POINT ROAD,101100,Taumarumaru,Res,3 or less,2.0,
TORSBY ROAD,101100,Taumarumaru,Res,3 or less,5.0,
TURVEY ROAD,101100,Taumarumaru,Res,5,4.8,24.0
VIDAR WAY,101100,Taumarumaru,Res,3 or less,5.0,
WATERFRONT DRIVE,101100,Taumarumaru,Res,3 or less,1.7,
WRATHALL ROAD,101100,Taumarumaru,Res,3 or less,5.0,
AWAROA ROAD,101200,Herekino-Takahue,Res,3 or less,2.0,
CRENE ROAD,101200,Herekino-Takahue,Res,3 or less,1.6,
DIGGERS VALLEY ROAD,101200,Herekino-Takahue,Res,6,5.9,35.7
KAITAIA-AWAROA ROAD,101200,Herekino-Takahue,Res,3 or less,4.0,
OROWHANA ROAD,101200,Herekino-Takahue,Res,3 or less,5.0,
STATE HIGHWAY 1,101200,Herekino-Takahue,Res,3 or less,4.5,
TAKAHUE ROAD,101200,Herekino-Takahue,Res,7,3.7,25.7
TAKAHUE SADDLE ROAD,101200,Herekino-Takahue,Res,3 or less,6.0,
TE RORE ROAD,101200,Herekino-Takahue,Res,3 or less,2.1,
WAIOTEHUE ROAD,101200,Herekino-Takahue,Res,3 or less,5.5,
WHANGAPE ROAD,101200,Herekino-Takahue,Res,3 or less,2.0,
ATKINSON ROAD,101300,Peria,Res,3 or less,5.0,
CHAMPION ROAD,101300,Peria,Res,3 or less,5.0,
CHURCH ROAD,101300,Peria,Res,3 or less,1.9,
DUNCAN ROAD,101300,Peria,Res,3 or less,4.0,
DYKIN ROAD,101300,Peria,Res,3 or less,5.5,
EDWARDS ROAD,101300,Peria,Res,3 or less,4.0,
FERN FLAT ROAD,101300,Peria,Res,3 or less,5.0,
HONEYMOON VALLEY ROAD,101300,Peria,Res,3 or less,4.7,
KOHUMARU ROAD,101300,Peria,Res,3 or less,10.0,
MANGATOETOE ROAD,101300,Peria,Res,3 or less,3.8,
ORURU ROAD,101300,Peria,Res,3 or less,6.2,
PANTHER ROAD,101300,Peria,Res,3 or less,4.0,
PERIA ROAD,101300,Peria,Res,3 or less,6.2,
PERIA VALLEY ROAD,101300,Peria,Res,3 or less,4.0,
SHEPHERD ROAD,101300,Peria,Res,3 or less,5.0,
STATE HIGHWAY 1,101300,Peria,Res,3 or less,6.0,
WELLS ROAD,101300,Peria,Res,3 or less,4.7,
BACKRIVER ROAD,101400,Taemaro-Oruaiti,Res,3 or less,10.0,
COMPASS COVE,101400,Taemaro-Oruaiti,Res,3 or less,4.0,
CONAGLEN ROAD,101400,Taemaro-Oruaiti,Res,3 or less,5.0,
DANGEN ROAD,101400,Taemaro-Oruaiti,Res,3 or less,10.0,
FAIRWINDS PLACE,101400,Taemaro-Oruaiti,Res,3 or less,2.0,
FOSTERS ROAD,101400,Taemaro-Oruaiti,Res,3 or less,5.3,
FRANTOIO RIDGE ROAD,101400,Taemaro-Oruaiti,Res,3 or less,6.0,
HIHI ROAD,101400,Taemaro-Oruaiti,Res,8,5.7,45.7
HOBBS ROAD,101400,Taemaro-Oruaiti,Res,3 or less,3.3,
LECCINO VALLEY ROAD,101400,Taemaro-Oruaiti,Res,4,6.5,25.8
MARCHANT ROAD,101400,Taemaro-Oruaiti,Res,3 or less,3.0,
MIDGLEY ROAD,101400,Taemaro-Oruaiti,Res,4,6.8,27.0
OMATAI ROAD,101400,Taemaro-Oruaiti,Res,3 or less,5.0,
PENINSULA PARADE,101400,Taemaro-Oruaiti,Res,3 or less,7.0,
SAWYER ROAD,101400,Taemaro-Oruaiti,Res,3 or less,5.0,
STATE HIGHWAY 10,101400,Taemaro-Oruaiti,Res,11,5.6,61.1
TIPATIPA ROAD,101400,Taemaro-Oruaiti,Res,3 or less,6.0,
WILSON WAY,101400,Taemaro-Oruaiti,Res,3 or less,6.0,
AIRSTRIP ROAD,101500,Whakapaku,Res,3 or less,5.0,
GANGWAY ROAD,101500,Whakapaku,Res,3 or less,4.0,
MARLIN DRIVE,101500,Whakapaku,Res,3 or less,3.9,
OTANGAROA ROAD,101500,Whakapaku,Res,3 or less,4.5,
STATE HIGHWAY 10,101500,Whakapaku,Res,3 or less,3.7,
TARATARA ROAD,101500,Whakapaku,Res,3 or less,3.8,
TAUPO BAY ROAD,101500,Whakapaku,Res,3 or less,6.7,
TOTARA NORTH ROAD,101500,Whakapaku,Res,4,5.8,23.0
TUNA PLACE,101500,Whakapaku,Res,3 or less,3.8,
WAIHAPA ROAD,101500,Whakapaku,Res,3 or less,8.0,
AWAROA ROAD,101600,Hokianga North,Res,3 or less,5.0,
MATAWERA ROAD,101600,Hokianga North,Res,3 or less,5.0,
PAWARENGA ROAD,101600,Hokianga North,Res,3 or less,4.0,
TE KARAKA ROAD,101600,Hokianga North,Res,3 or less,3.6,
WEST COAST ROAD,101600,Hokianga North,Res,5,5.1,25.6
CHURCH STREET,101700,Kohukohu-Broadwood,Res,3 or less,2.7,
GROUNDS ROAD,101700,Kohukohu-Broadwood,Res,3 or less,8.1,
KAUAPEPE ROAD,101700,Kohukohu-Broadwood,Res,3 or less,5.0,
KOHUKOHU ROAD,101700,Kohukohu-Broadwood,Res,3 or less,4.0,
MANGAMUKA ROAD,101700,Kohukohu-Broadwood,Res,3 or less,10.0,
OLD BEACH ROAD,101700,Kohukohu-Broadwood,Res,3 or less,5.5,
PAPONGA ROAD,101700,Kohukohu-Broadwood,Res,3 or less,5.2,
POTTER STREET,101700,Kohukohu-Broadwood,Res,3 or less,6.0,
RAKAUTAPU ROAD,101700,Kohukohu-Broadwood,Res,3 or less,4.4,
SMITHS DEVIATION ROAD,101700,Kohukohu-Broadwood,Res,3 or less,3.6,
TAKAHUE SADDLE ROAD,101700,Kohukohu-Broadwood,Res,3 or less,5.1,
WEST COAST ROAD,101700,Kohukohu-Broadwood,Res,3 or less,5.0,
YARBOROUGH STREET,101700,Kohukohu-Broadwood,Res,3 or less,2.6,
HUIA ROAD,101800,Whakarara,Res,3 or less,5.0,
JB SMITH WAY,101800,Whakarara,Res,3 or less,5.0,
KENT STREET,101800,Whakarara,Res,3 or less,2.7,
LEWER ROAD,101800,Whakarara,Res,3 or less,6.0,
MAHINEPUA ROAD,101800,Whakarara,Res,3 or less,9.0,
MATAURI BAY ROAD,101800,Whakarara,Res,6,4.5,27.1
MCGEE ROAD,101800,Whakarara,Res,3 or less,4.5,
OLD HOSPITAL ROAD,101800,Whakarara,Res,3 or less,4.3,
OTA POINT ROAD,101800,Whakarara,Res,3 or less,5.7,
PORTERS ACCESS ROAD,101800,Whakarara,Res,3 or less,3.6,
RHODES WAY,101800,Whakarara,Res,3 or less,5.0,
RIWHI WAY,101800,Whakarara,Res,3 or less,5.0,
RUATO ROAD,101800,Whakarara,Res,3 or less,8.0,
STATE HIGHWAY 10,101800,Whakarara,Res,3 or less,3.9,
TAURANGA BAY ROAD,101800,Whakarara,Res,4,5.5,22.0
TE TAPUI ROAD,101800,Whakarara,Res,3 or less,4.0,
WAINUI ROAD,101800,Whakarara,Res,17,4.9,83.4
WAINUI VALLEY ROAD,101800,Whakarara,Res,3 or less,6.0,
WHANGAROA ROAD,101800,Whakarara,Res,3 or less,3.0,
COPPERMINE ROAD,101900,Kaeo,Res,3 or less,5.0,
DIP ROAD,101900,Kaeo,Res,3 or less,4.3,
JURY ROAD,101900,Kaeo,Res,3 or less,6.0,
MANGAMANIHI ROAD,101900,Kaeo,Res,3 or less,5.0,
MARTIN ROAD,101900,Kaeo,Res,3 or less,10.0,
OMAUNU ROAD,101900,Kaeo,Res,5,4.5,22.6
PUNGAERE ROAD,101900,Kaeo,Res,3 or less,2.7,
PUPUKE MANGAPA ROAD,101900,Kaeo,Res,3 or less,3.7,
STATE HIGHWAY 10,101900,Kaeo,Res,5,4.6,22.9
TOPPS ACCESS ROAD,101900,Kaeo,Res,3 or less,3.4,
TURNER STREET,101900,Kaeo,Res,3 or less,6.2,
WAIARE ROAD,101900,Kaeo,Res,7,3.9,27.3
ABRAHAM ROAD,102000,Omahuta Forest-Horeke,Res,3 or less,5.0,
COOK ROAD,102000,Omahuta Forest-Horeke,Res,3 or less,10.0,
CRALLAN ROAD,102000,Omahuta Forest-Horeke,Res,3 or less,5.0,
FOREST ROAD,102000,Omahuta Forest-Horeke,Res,3 or less,3.7,
HAPPY VALLEY ROAD,102000,Omahuta Forest-Horeke,Res,3 or less,2.5,
HOREKE ROAD,102000,Omahuta Forest-Horeke,Res,5,3.5,17.3
HUTOIA ROADWAY,102000,Omahuta Forest-Horeke,Res,3 or less,3.7,
MANGATARAIRE ROAD,102000,Omahuta Forest-Horeke,Res,3 or less,6.0,
MOTUKIORE ROAD,102000,Omahuta Forest-Horeke,Res,3 or less,6.0,
ORIRA ROAD,102000,Omahuta Forest-Horeke,Res,3 or less,2.6,
POIEKE ROAD,102000,Omahuta Forest-Horeke,Res,3 or less,5.0,
RAHIRI ROAD,102000,Omahuta Forest-Horeke,Res,5,3.6,18.1
RANGIAHUA ROAD,102000,Omahuta Forest-Horeke,Res,3 or less,4.3,
STATE HIGHWAY 1,102000,Omahuta Forest-Horeke,Res,3 or less,3.9,
TE TIO ROAD,102000,Omahuta Forest-Horeke,Res,3 or less,4.7,
UMAWERA SCHOOL ROAD,102000,Omahuta Forest-Horeke,Res,3 or less,1.5,
WHITE ROAD,102000,Omahuta Forest-Horeke,Res,3 or less,6.0,
BRINDLE ROAD,102100,Hokianga South,Res,3 or less,5.0,
CABBAGE TREE BAY ROAD,102100,Hokianga South,Res,3 or less,5.0,
DE THIERRY STREET,102100,Hokianga South,Res,3 or less,4.2,
DUDDY ROAD,102100,Hokianga South,Res,3 or less,5.3,
GUNDRY STREET,102100,Hokianga South,Res,3 or less,6.0,
HIVE ROAD,102100,Hokianga South,Res,3 or less,4.0,
HONEY STREET,102100,Hokianga South,Res,3 or less,5.0,
JAMIESON ROAD,102100,Hokianga South,Res,3 or less,1.7,
KOUTU LOOP ROAD,102100,Hokianga South,Res,4,3.9,15.4
KOUTU POINT ROAD,102100,Hokianga South,Res,3 or less,5.0,
MANNING STREET,102100,Hokianga South,Res,4,3.3,13.3
MARINER STREET,102100,Hokianga South,Res,3 or less,4.5,
MOUNTAIN ROAD,102100,Hokianga South,Res,3 or less,2.0,
NIMMO STREET,102100,Hokianga South,Res,3 or less,7.3,
PARNELL STREET,102100,Hokianga South,Res,4,2.3,9.2
STATE HIGHWAY 12,102100,Hokianga South,Res,4,2.8,11.1
TAPP ROAD,102100,Hokianga South,Res,3 or less,6.0,
WAIHOTU ROAD,102100,Hokianga South,Res,3 or less,5.0,
WAIONE ROAD,102100,Hokianga South,Res,3 or less,1.7,
WELLSFORD ROAD,102100,Hokianga South,Res,3 or less,4.4,
WHITE STREET,102100,Hokianga South,Res,3 or less,1.8,
WIKAIRA ROAD,102100,Hokianga South,Res,3 or less,3.0,
CAPRINE ROAD,102200,Lake Manuwai-Kapiro,Res,3 or less,7.8,
CONIFER LANE,102200,Lake Manuwai-Kapiro,Res,6,6.2,37.5
DAROUX DRIVE,102200,Lake Manuwai-Kapiro,Res,3 or less,6.2,
DOONSIDE ROAD,102200,Lake Manuwai-Kapiro,Res,3 or less,5.5,
EQUESTRIAN DRIVE,102200,Lake Manuwai-Kapiro,Res,6,8.7,52.1
FERNBIRD GROVE,102200,Lake Manuwai-Kapiro,Res,5,5.2,26.0
JENNINGS ROAD,102200,Lake Manuwai-Kapiro,Res,3 or less,5.1,
KAPIRO ROAD,102200,Lake Manuwai-Kapiro,Res,10,5.2,51.5
KERI DOWNS ROAD,102200,Lake Manuwai-Kapiro,Res,5,5.9,29.3
KORANAE ROAD,102200,Lake Manuwai-Kapiro,Res,3 or less,5.5,
LEMON GROVE,102200,Lake Manuwai-Kapiro,Res,3 or less,8.1,
MANUWAI ROAD,102200,Lake Manuwai-Kapiro,Res,3 or less,5.0,
MCCAUGHAN ROAD,102200,Lake Manuwai-Kapiro,Res,4,4.8,19.3
MORRIS LANE,102200,Lake Manuwai-Kapiro,Res,3 or less,9.6,
NESS ROAD,102200,Lake Manuwai-Kapiro,Res,7,5.5,38.3
OAK TREE LANE,102200,Lake Manuwai-Kapiro,Res,3 or less,4.0,
ONEKURA ROAD,102200,Lake Manuwai-Kapiro,Res,5,4.5,22.6
ORANGEWOOD ROAD,102200,Lake Manuwai-Kapiro,Res,3 or less,8.3,
PUNGAERE ROAD,102200,Lake Manuwai-Kapiro,Res,9,5.3,47.4
PURERUA ROAD,102200,Lake Manuwai-Kapiro,Res,3 or less,8.0,
PURIRI DALE WAY,102200,Lake Manuwai-Kapiro,Res,3 or less,6.5,
RIVER DRIVE,102200,Lake Manuwai-Kapiro,Res,8,6.2,49.6
SANDYS ROAD,102200,Lake Manuwai-Kapiro,Res,3 or less,6.7,
SHIRLEY ROAD,102200,Lake Manuwai-Kapiro,Res,3 or less,5.4,
STANNERS ROAD,102200,Lake Manuwai-Kapiro,Res,10,4.8,47.7
STATE HIGHWAY 10,102200,Lake Manuwai-Kapiro,Res,11,6.5,71.8
TANEKAHA LANE,102200,Lake Manuwai-Kapiro,Res,3 or less,8.0,
WAIPAPA WEST ROAD,102200,Lake Manuwai-Kapiro,Res,7,5.7,40.0
DONALDSON ROAD,102300,Okaihau,Res,3 or less,3.7,
HOREKE ROAD,102300,Okaihau,Res,8,4.8,38.4
HULME DRIVE,102300,Okaihau,Res,3 or less,5.0,
LAKE ROAD,102300,Okaihau,Res,3 or less,5.5,
LODORE ROAD,102300,Okaihau,Res,5,6.2,31.0
MANGAKARETU ROAD,102300,Okaihau,Res,3 or less,4.3,
MIHI ROAD,102300,Okaihau,Res,3 or less,5.7,
OLD VALLEY ROAD,102300,Okaihau,Res,3 or less,3.5,
PUKEPOTO ROAD,102300,Okaihau,Res,3 or less,4.0,
PUKETOTARA ROAD,102300,Okaihau,Res,5,5.8,29.0
SETTLERS WAY,102300,Okaihau,Res,3 or less,5.2,
SIGNAL ROAD,102300,Okaihau,Res,3 or less,2.2,
STATE HIGHWAY 1,102300,Okaihau,Res,8,3.9,31.0
WAIARE ROAD,102300,Okaihau,Res,12,5.0,59.8
